Neighborhood,Year,Number of Rent Regulated Housing
Bay Ridge,2008,17488.14543
Bensonhurst,2008,20012.64322
Borough Park,2008,17935.89703
Coney Island,2008,18690.66643
Flatbush/Midwood,2008,37679.24856
Sheepshead Bay,2008,19739.3736
Brownsville,2008,13004.95379
East Flatbush,2008,17879.63352
Canarsie,2008,2792.0953
Astoria,2008,34463.89525
Sunnyside/Woodside,2008,26406.82365
Jackson Heights,2008,19076.97636
Elmhurst/Corona,2008,21645.59033
Ridgewood/Glendale,2008,12491.3018
Rego Park/Forest Hills,2008,20397.2969
Flushing,2008,24409.18855
Fresh Meadows/Briarwood,2008,16909.64759
Woodhaven,2008,7736.61466
Howard Beach,2008,2469.33937
Bayside,2008,997.97976
Jamaica/St. Albans,2008,15551.39147
Queens Village,2008,3546.23213
The Rockaways,2008,11168.36548
St. George,2008,6480.53857
South Beach,2008,775.73101
Tottenville,2008,2920.88072
Bronx,2008,251177.62273
Brooklyn,2008,318015.88558
Manhattan,2008,342939.46306
Queens,2008,217270.6433
Staten Island,2008,10177.1503
New York City,2008,1139580.76497
Battery Park/Tribeca,2011,9623.53547
Greenwich Village,2011,14206.30667
Lower East Side,2011,33778.38344
Chelsea/Clinton,2011,21537.67574
Midtown Business District,2011,10779.37255
Murray Hill/Stuyvesant,2011,26154.27126
Upper West Side,2011,31156.08155
Upper East Side,2011,38665.11826
Manhattanville,2011,23713.89395
Central Harlem,2011,26494.65034
East Harlem,2011,20374.44728
Washington Heights,2011,56196.36957
Mott Haven,2011,13809.05978
Hunts Point,2011,7885.1562
Morrisania,2011,14176.94029
Concourse/Highbridge,2011,40912.8008
University Heights,2011,35318.24857
East Tremont,2011,14800.09859
Bedford Park,2011,38695.25834
Riverdale,2011,22241.72885
Unionport/Soundview,2011,22065.62829
Throgs Neck,2011,9234.4719
Pelham Parkway,2011,17319.92117
Williamsbridge,2011,13962.13944
Williamsburg/Greenpoint,2011,24846.6355
Fort Greene/Brooklyn Hts,2011,13956.78716
Bedford Stuyvesant,2011,16977.54786
Bushwick,2011,15395.39072
East New York,2011,14913.41308
Park Slope,2011,12312.19285
Sunset Park,2011,15806.74161
Crown Heights North,2011,22606.13724
Crown Heights South,2011,30536.58787
Bay Ridge,2011,18769.28933
Bensonhurst,2011,22749.10246
Borough Park,2011,15120.06479
Coney Island,2011,20925.78078
Flatbush/Midwood,2011,31913.79705
Sheepshead Bay,2011,17428.624
Brownsville,2011,16238.9301
East Flatbush,2011,18001.4775
Canarsie,2011,4271.87959
Astoria,2011,32685.21211
Sunnyside/Woodside,2011,22941.15312
Jackson Heights,2011,19199.98136
Elmhurst/Corona,2011,19808.16882
Ridgewood/Glendale,2011,13487.92843
Rego Park/Forest Hills,2011,17952.34022
Flushing,2011,21342.125
Fresh Meadows/Briarwood,2011,15571.8478
Woodhaven,2011,8922.58533
Howard Beach,2011,521.75464
Bayside,2011,2848.55973
Jamaica/St. Albans,2011,10671.41069
Queens Village,2011,1991.66854
The Rockaways,2011,10416.29086
St. George,2011,7001.21282
South Beach,2011,1545.24012
Tottenville,2011,1541.94651
Bronx,2011,250421.45222
Brooklyn,2011,332770.37949
Manhattan,2011,312680.10608
Queens,2011,198361.02665
Staten Island,2011,10088.39945
New York City,2011,1104321.36389
Battery Park/Tribeca,2014,10539.92966
Greenwich Village,2014,15559.09195
Lower East Side,2014,31510.80693
Chelsea/Clinton,2014,21822.66233
Midtown Business District,2014,10922.00523
Murray Hill/Stuyvesant,2014,27270.83942
Upper West Side,2014,36093.87192
Upper East Side,2014,41488.05507
Manhattanville,2014,24722.02367
Central Harlem,2014,27450.51013
East Harlem,2014,21075.9429
Washington Heights,2014,56126.1135
Mott Haven,2014,13480.68628
Hunts Point,2014,7697.65058
Morrisania,2014,13909.35568
Concourse/Highbridge,2014,38304.09365
University Heights,2014,34794.43639
East Tremont,2014,14520.75209
Bedford Park,2014,42190.40452
Riverdale,2014,19948.26243
Unionport/Soundview,2014,24648.17352
Throgs Neck,2014,6564.00296
Pelham Parkway,2014,17220.02772
Williamsbridge,2014,14634.08994
Williamsburg/Greenpoint,2014,24906.3785
Fort Greene/Brooklyn Hts,2014,13036.40728
Bedford Stuyvesant,2014,20661.28127
Bushwick,2014,16603.31776
East New York,2014,13921.6282
Park Slope,2014,10938.0263
Sunset Park,2014,15475.40698
Crown Heights North,2014,23159.46506
Crown Heights South,2014,31481.92177
Bay Ridge,2014,18736.77977
Bensonhurst,2014,21162.09448
Borough Park,2014,17741.71966
Coney Island,2014,15044.03396
Flatbush/Midwood,2014,31032.53836
Sheepshead Bay,2014,16071.55897
Brownsville,2014,16872.925
East Flatbush,2014,18246.85286
Canarsie,2014,4428.30906
Astoria,2014,33118.57633
Sunnyside/Woodside,2014,22658.78706
Jackson Heights,2014,19662.78088
Elmhurst/Corona,2014,19372.79836
