,Neighborhood,Year,Population
2188,East Harlem,2017,128316.0
2189,Washington Heights,2017,219998.0
2190,Mott Haven,2017,99526.21296
2191,Hunts Point,2017,56830.78704
2192,Morrisania,2017,92015.20058
2193,Concourse/Highbridge,2017,149710.0
2194,University Heights,2017,148339.0
2195,East Tremont,2017,96059.79942
2196,Bedford Park,2017,143540.0
2197,Riverdale,2017,113242.0
2198,Unionport/Soundview,2017,187975.0
2199,Throgs Neck,2017,113395.0
2200,Pelham Parkway,2017,120116.0
2201,Williamsbridge,2017,150411.0
2202,Williamsburg/Greenpoint,2017,152002.0
2203,Fort Greene/Brooklyn Hts,2017,135444.0
2204,Bedford Stuyvesant,2017,142027.0
2205,Bushwick,2017,140474.0
2206,East New York,2017,176471.0
2207,Park Slope,2017,116209.0
2208,Sunset Park,2017,144332.0
2209,Crown Heights North,2017,141725.0
2210,Crown Heights South,2017,113212.0
2211,Bay Ridge,2017,123488.0
2212,Bensonhurst,2017,205850.0
2213,Borough Park,2017,146556.0
2214,Coney Island,2017,122009.0
2215,Flatbush/Midwood,2017,150707.0
2216,Sheepshead Bay,2017,171030.0
2217,Brownsville,2017,111511.0
2218,East Flatbush,2017,140087.0
2219,Canarsie,2017,215637.0
2220,Astoria,2017,164321.0
2221,Sunnyside/Woodside,2017,133822.0
2222,Jackson Heights,2017,170222.0
2223,Elmhurst/Corona,2017,146301.0
2224,Ridgewood/Glendale,2017,199043.0
2225,Rego Park/Forest Hills,2017,118922.0
2226,Flushing,2017,260282.0
2227,Fresh Meadows/Briarwood,2017,164291.0
2228,Woodhaven,2017,152283.0
2229,Howard Beach,2017,139323.0
2230,Bayside,2017,118670.0
2231,Jamaica/St. Albans,2017,249331.0
2232,Queens Village,2017,208786.0
2233,The Rockaways,2017,133051.0
2234,St. George,2017,176632.0
2235,South Beach,2017,143766.0
2236,Tottenville,2017,159060.0
2237,Bronx,2017,1471160.0
2238,Brooklyn,2017,2648771.0
2239,Manhattan,2017,1664727.0
2240,Queens,2017,2358582.0
2241,Staten Island,2017,479458.0
2242,New York City,2017,8622698.0
2243,Kingsbridge - Riverdale,2017,93270.41339
2244,Northeast Bronx,2017,202666.5647
2245,Fordham - Bronx Park,2017,262431.4419
2246,Pelham - Throgs Neck,2017,305463.8515
2247,Crotona - Tremont,2017,216846.4754
2248,High Bridge - Morrisania,2017,219073.2899
2249,Hunts Point - Mott Haven,2017,141687.5733
2250,Greenpoint,2017,136611.9395
2251,Downtown  - Heights - Slope,2017,259005.6145
2252,Bedford Stuyvesant - Crown Heights,2017,328162.1136
2253,East New York,2017,186431.0033
2254,Sunset Park,2017,127364.97
2255,Borough Park,2017,338791.0543
2256,East Flatbush - Flatbush,2017,299334.9657
2257,Canarsie - Flatlands,2017,206264.931
2258,Bensonhurst - Bay Ridge,2017,205212.2877
2259,Coney Island - Sheepshead Bay,2017,289805.0227
2260,Williamsburg - Bushwick,2017,219401.0978
2261,Washington Heights - Inwood,2017,270132.1309
2262,Central Harlem - Morningside Heights,2017,179761.5388
2263,East Harlem,2017,113623.3017
2264,Upper West Side,2017,216363.1467
2265,Upper East Side,2017,219179.9655
2266,Chelsea - Clinton,2017,149674.9866
2267,Gramercy Park -  Murray Hill,2017,131094.3503
2268,Greenwich Village - Soho,2017,84037.67278
2269,Union Square - Lower East Side,2017,189025.1684
2270,Lower Manhattan,2017,60678.23843
2271,Long Island City - Astoria,2017,210760.4902
2272,West Queens,2017,460651.5143
2273,Flushing - Clearview,2017,254344.5895
2274,Bayside - Little Neck,2017,88133.92522
2275,Ridgewood - Forest Hills,2017,254714.2528
2276,Fresh Meadows,2017,100700.548
2277,Southwest Queens,2017,287169.608
2278,Jamaica,2017,318831.8959
2279,Southeast Queens,2017,213496.7543
2280,Rockaway,2017,122556.3116
2281,Port  Richmond,2017,68692.10527
2282,Stapleton - St. George,2017,124098.4992
2283,Willowbrook,2017,89999.08872
2284,South Beach - Tottenville,2017,192726.3068
2285,Zip Code 10001,2017,23947.0
2286,Zip Code 10002,2017,77925.0
2287,Zip Code 10003,2017,55035.0
2288,Zip Code 10004,2017,2990.0
2289,Zip Code 10005,2017,8680.0
2290,Zip Code 10006,2017,3579.0
2291,Zip Code 10007,2017,7036.0
2292,Zip Code 10009,2017,60141.0
2293,Zip Code 10010,2017,33119.0
2294,Zip Code 10011,2017,50711.0
2295,Zip Code 10012,2017,24527.0
2296,Zip Code 10013,2017,29619.0
2297,Zip Code 10014,2017,31794.0
2298,Zip Code 10016,2017,51448.0
2299,Zip Code 10017,2017,16388.0
2300,Zip Code 10018,2017,9719.0
2301,Zip Code 10019,2017,41592.0
2302,Zip Code 10021,2017,44983.0
2303,Zip Code 10022,2017,30807.0
2304,Zip Code 10023,2017,61514.0
2305,Zip Code 10024,2017,58512.0
2306,Zip Code 10025,2017,94382.0
2307,Zip Code 10026,2017,40105.0
2308,Zip Code 10027,2017,65365.0
2309,Zip Code 10028,2017,50091.0
2310,Zip Code 10029,2017,80866.0
2311,Zip Code 10030,2017,30163.0
2312,Zip Code 10031,2017,62382.0
2313,Zip Code 10032,2017,63185.0
2314,Zip Code 10033,2017,60810.0
2315,Zip Code 10034,2017,44186.0
2316,Zip Code 10035,2017,35366.0
2317,Zip Code 10036,2017,26868.0
2318,Zip Code 10037,2017,21184.0
2319,Zip Code 10038,2017,22457.0
2320,Zip Code 10039,2017,27203.0
2321,Zip Code 10040,2017,46003.0
2322,Zip Code 10044,2017,11945.0
2323,Zip Code 10065,2017,29565.0
2324,Zip Code 10069,2017,5195.0
2325,Zip Code 10075,2017,22818.0
2326,Zip Code 10128,2017,62743.0
2327,Zip Code 10280,2017,9820.0
2328,Zip Code 10282,2017,5644.0
2329,Zip Code 10301,2017,39451.0
2330,Zip Code 10302,2017,18539.0
2331,Zip Code 10303,2017,25804.0
2332,Zip Code 10304,2017,41884.0
2333,Zip Code 10305,2017,42311.0
2334,Zip Code 10306,2017,54021.0
2335,Zip Code 10307,2017,15528.0
2336,Zip Code 10308,2017,30024.0
2337,Zip Code 10309,2017,33660.0
2338,Zip Code 10310,2017,23708.0
2339,Zip Code 10312,2017,61058.0
2340,Zip Code 10314,2017,89960.0
2341,Zip Code 10451,2017,48240.0
2342,Zip Code 10452,2017,77983.0
2343,Zip Code 10453,2017,82232.0
2344,Zip Code 10454,2017,38654.0
2345,Zip Code 10455,2017,42558.0
2346,Zip Code 10456,2017,94667.0
2347,Zip Code 10457,2017,75668.0
2348,Zip Code 10458,2017,85157.0
2349,Zip Code 10459,2017,48895.0
2350,Zip Code 10460,2017,60772.0
2351,Zip Code 10461,2017,51021.0
2352,Zip Code 10462,2017,79188.0
2353,Zip Code 10463,2017,72863.0
2354,Zip Code 10464,2017,4517.0
2355,Zip Code 10465,2017,44269.0
2356,Zip Code 10466,2017,73569.0
2357,Zip Code 10467,2017,102718.0
2358,Zip Code 10468,2017,77657.0
2359,Zip Code 10469,2017,73008.0
2360,Zip Code 10470,2017,14592.0
2361,Zip Code 10471,2017,22040.0
2362,Zip Code 10472,2017,68924.0
2363,Zip Code 10473,2017,62531.0
2364,Zip Code 10474,2017,12608.0
2365,Zip Code 10475,2017,44241.0
2366,Zip Code 11001,2017,28010.0
2367,Zip Code 11004,2017,15151.0
2368,Zip Code 11005,2017,1762.0
2369,Zip Code 11040,2017,42140.0
2370,Zip Code 11096,2017,8609.0
2371,Zip Code 11101,2017,28852.0
2372,Zip Code 11102,2017,33727.0
2373,Zip Code 11103,2017,38036.0
2374,Zip Code 11104,2017,25725.0
2375,Zip Code 11105,2017,37288.0
2376,Zip Code 11106,2017,40111.0
2377,Zip Code 11109,2017,5298.0
2378,Zip Code 11201,2017,61907.0
2379,Zip Code 11203,2017,75989.0
2380,Zip Code 11204,2017,80056.0
2381,Zip Code 11205,2017,45148.0
2382,Zip Code 11206,2017,87767.0
2383,Zip Code 11207,2017,92580.0
2384,Zip Code 11208,2017,99145.0
2385,Zip Code 11209,2017,67950.0
2386,Zip Code 11210,2017,68988.0
2387,Zip Code 11211,2017,101560.0
2388,Zip Code 11212,2017,82831.0
2389,Zip Code 11213,2017,66503.0
2390,Zip Code 11214,2017,94283.0
2391,Zip Code 11215,2017,71015.0
2392,Zip Code 11216,2017,57410.0
2393,Zip Code 11217,2017,39687.0
2394,Zip Code 11218,2017,76960.0
2395,Zip Code 11219,2017,93979.0
2396,Zip Code 11220,2017,100412.0
2397,Zip Code 11221,2017,84536.0
2398,Zip Code 11222,2017,36845.0
2399,Zip Code 11223,2017,80855.0
2400,Zip Code 11224,2017,45244.0
2401,Zip Code 11225,2017,59497.0
2402,Zip Code 11226,2017,102585.0
2403,Zip Code 11228,2017,44676.0
2404,Zip Code 11229,2017,85776.0
2405,Zip Code 11230,2017,90257.0
2406,Zip Code 11231,2017,37680.0
2407,Zip Code 11232,2017,28992.0
2408,Zip Code 11233,2017,74982.0
2409,Zip Code 11234,2017,97741.0
2410,Zip Code 11235,2017,80222.0
2411,Zip Code 11236,2017,100633.0
2412,Zip Code 11237,2017,52319.0
2413,Zip Code 11238,2017,55398.0
2414,Zip Code 11239,2017,12713.0
2415,Zip Code 11354,2017,57566.0
2416,Zip Code 11355,2017,82890.0
2417,Zip Code 11356,2017,24069.0
2418,Zip Code 11357,2017,41393.0
2419,Zip Code 11358,2017,36959.0
2420,Zip Code 11359,2017,0.0
2421,Zip Code 11360,2017,19501.0
2422,Zip Code 11361,2017,29072.0
2423,Zip Code 11362,2017,18443.0
2424,Zip Code 11363,2017,7423.0
2425,Zip Code 11364,2017,35885.0
2426,Zip Code 11365,2017,45565.0
2427,Zip Code 11366,2017,14308.0
2428,Zip Code 11367,2017,43496.0
2429,Zip Code 11368,2017,114647.0
2430,Zip Code 11369,2017,37325.0
2431,Zip Code 11370,2017,33789.0
2432,Zip Code 11371,2017,0.0
2433,Zip Code 11372,2017,64298.0
2434,Zip Code 11373,2017,96353.0
2435,Zip Code 11374,2017,43540.0
2436,Zip Code 11375,2017,72937.0
2437,Zip Code 11377,2017,89688.0
2438,Zip Code 11378,2017,35844.0
2439,Zip Code 11379,2017,37524.0
2440,Zip Code 11385,2017,106598.0
2441,Zip Code 11411,2017,19990.0
2442,Zip Code 11412,2017,38833.0
2443,Zip Code 11413,2017,42895.0
2444,Zip Code 11414,2017,29203.0
2445,Zip Code 11415,2017,19900.0
2446,Zip Code 11416,2017,27567.0
2447,Zip Code 11417,2017,32425.0
2448,Zip Code 11418,2017,39267.0
2449,Zip Code 11419,2017,52392.0
2450,Zip Code 11420,2017,49396.0
2451,Zip Code 11421,2017,43567.0
2452,Zip Code 11422,2017,33479.0
2453,Zip Code 11423,2017,32407.0
2454,Zip Code 11426,2017,21166.0
2455,Zip Code 11427,2017,23809.0
2456,Zip Code 11428,2017,19859.0
2457,Zip Code 11429,2017,27667.0
2458,Zip Code 11430,2017,183.0
2459,Zip Code 11432,2017,65098.0
2460,Zip Code 11433,2017,36019.0
2461,Zip Code 11434,2017,66725.0
2462,Zip Code 11435,2017,59214.0
2463,Zip Code 11436,2017,20905.0
2464,Zip Code 11691,2017,65356.0
2465,Zip Code 11692,2017,20242.0
2466,Zip Code 11693,2017,12709.0
2467,Zip Code 11694,2017,21003.0
2468,Zip Code 11697,2017,3702.0
2469,Battery Park/Tribeca,2018,61375.7862
2470,Greenwich Village,2018,90603.2138
2471,Lower East Side,2018,155408.0
2472,Chelsea/Clinton,2018,110265.3774
2473,Midtown Business District,2018,55186.62257
2474,Murray Hill/Stuyvesant,2018,143582.0
2475,Upper West Side,2018,191222.0
2476,Upper East Side,2018,204469.0
2477,Manhattanville,2018,145440.0
2478,Central Harlem,2018,146309.0
2479,East Harlem,2018,110800.0
2480,Washington Heights,2018,214040.0
2481,Mott Haven,2018,104393.1356
2482,Hunts Point,2018,59609.8644
2483,Morrisania,2018,85841.38792
2484,Concourse/Highbridge,2018,136636.0
2485,University Heights,2018,139732.0
2486,East Tremont,2018,89614.61208
2487,Bedford Park,2018,133784.0
2488,Riverdale,2018,119846.0
2489,Unionport/Soundview,2018,182874.0
2490,Throgs Neck,2018,119071.0
2491,Pelham Parkway,2018,124931.0
2492,Williamsbridge,2018,135799.0
2493,Williamsburg/Greenpoint,2018,162381.0
2494,Fort Greene/Brooklyn Hts,2018,145843.0
2495,Bedford Stuyvesant,2018,155117.0
2496,Bushwick,2018,121188.0
2497,East New York,2018,171170.0
2498,Park Slope,2018,116351.0
2499,Sunset Park,2018,132875.0
2500,Crown Heights North,2018,136367.0
2501,Crown Heights South,2018,111448.0
2502,Bay Ridge,2018,125200.0
2503,Bensonhurst,2018,186850.0
2504,Borough Park,2018,138570.0
2505,Coney Island,2018,113339.0
2506,Flatbush/Midwood,2018,154833.0
2507,Sheepshead Bay,2018,158213.0
2508,Brownsville,2018,122128.0
2509,East Flatbush,2018,135931.0
2510,Canarsie,2018,195026.0
2511,Astoria,2018,160871.0
2512,Sunnyside/Woodside,2018,137490.0
2513,Jackson Heights,2018,181787.0
2514,Elmhurst/Corona,2018,150131.0
2515,Ridgewood/Glendale,2018,186441.0
2516,Rego Park/Forest Hills,2018,118105.0
2517,Flushing,2018,239000.0
2518,Fresh Meadows/Briarwood,2018,164615.0
2519,Woodhaven,2018,139079.0
2520,Howard Beach,2018,128937.0
2521,Bayside,2018,115744.0
2522,Jamaica/St. Albans,2018,241539.0
2523,Queens Village,2018,187761.0
2524,The Rockaways,2018,127676.0
2525,St. George,2018,174606.0
2526,South Beach,2018,137973.0
2527,Tottenville,2018,163600.0
2528,Bronx,2018,1432132.0
2529,Brooklyn,2018,2582830.0
2530,Manhattan,2018,1628701.0
2531,Queens,2018,2278906.0
2532,Staten Island,2018,476179.0
2533,New York City,2018,8398748.0
2534,Kingsbridge - Riverdale,2018,92534.6045
2535,Northeast Bronx,2018,201521.8592
2536,Fordham - Bronx Park,2018,261272.9038
2537,Pelham - Throgs Neck,2018,304034.7755
2538,Crotona - Tremont,2018,215942.346
2539,High Bridge - Morrisania,2018,218195.7224
2540,Hunts Point - Mott Haven,2018,141190.4185
2541,Greenpoint,2018,135943.834
2542,Downtown  - Heights - Slope,2018,259325.0256
2543,Bedford Stuyvesant - Crown Heights,2018,325714.9825
2544,East New York,2018,184764.4333
2545,Sunset Park,2018,126721.0866
2546,Borough Park,2018,337152.7623
2547,East Flatbush - Flatbush,2018,297254.5311
2548,Canarsie - Flatlands,2018,204565.162
2549,Bensonhurst - Bay Ridge,2018,204629.6616
2550,Coney Island - Sheepshead Bay,2018,288893.7477
2551,Williamsburg - Bushwick,2018,217864.7734
2552,Washington Heights - Inwood,2018,269141.8587
2553,Central Harlem - Morningside Heights,2018,179078.1147
2554,East Harlem,2018,113268.173
2555,Upper West Side,2018,216284.081
2556,Upper East Side,2018,219078.5338
2557,Chelsea - Clinton,2018,149437.6872
2558,Gramercy Park -  Murray Hill,2018,131358.2289
2559,Greenwich Village - Soho,2018,84055.45177
2560,Union Square - Lower East Side,2018,189305.0259
2561,Lower Manhattan,2018,60936.31176
2562,Long Island City - Astoria,2018,208828.3062
2563,West Queens,2018,457315.6764
2564,Flushing - Clearview,2018,253235.2691
2565,Bayside - Little Neck,2018,87431.63278
2566,Ridgewood - Forest Hills,2018,251726.0752
2567,Fresh Meadows,2018,99867.41663
2568,Southwest Queens,2018,284964.0259
2569,Jamaica,2018,316626.5921
2570,Southeast Queens,2018,211954.9085
2571,Rockaway,2018,121153.0005
2572,Port  Richmond,2018,68876.59813
2573,Stapleton - St. George,2018,124623.2513
2574,Willowbrook,2018,90834.28819
2575,South Beach - Tottenville,2018,191844.8624
2576,Zip Code 10001,2018,22924.0
2577,Zip Code 10002,2018,74993.0
2578,Zip Code 10003,2018,54682.0
2579,Zip Code 10004,2018,3028.0
2580,Zip Code 10005,2018,8831.0
2581,Zip Code 10006,2018,3454.0
2582,Zip Code 10007,2018,7023.0
2583,Zip Code 10009,2018,57925.0
2584,Zip Code 10010,2018,33730.0
2585,Zip Code 10011,2018,50472.0
2586,Zip Code 10012,2018,23411.0
2587,Zip Code 10013,2018,28709.0
2588,Zip Code 10014,2018,30738.0
2589,Zip Code 10016,2018,51057.0
2590,Zip Code 10017,2018,15801.0
2591,Zip Code 10018,2018,9687.0
2592,Zip Code 10019,2018,43703.0
2593,Zip Code 10021,2018,46215.0
2594,Zip Code 10022,2018,31125.0
2595,Zip Code 10023,2018,62435.0
2596,Zip Code 10024,2018,59001.0
2597,Zip Code 10025,2018,92805.0
2598,Zip Code 10026,2018,39363.0
2599,Zip Code 10027,2018,64548.0
2600,Zip Code 10028,2018,47793.0
2601,Zip Code 10029,2018,79597.0
2602,Zip Code 10030,2018,29882.0
2603,Zip Code 10031,2018,60254.0
2604,Zip Code 10032,2018,64264.0
2605,Zip Code 10033,2018,59607.0
2606,Zip Code 10034,2018,42910.0
2607,Zip Code 10035,2018,35743.0
2608,Zip Code 10036,2018,27428.0
2609,Zip Code 10037,2018,21139.0
2610,Zip Code 10038,2018,22800.0
2611,Zip Code 10039,2018,27726.0
2612,Zip Code 10040,2018,44571.0
2613,Zip Code 10044,2018,11682.0
2614,Zip Code 10065,2018,28109.0
2615,Zip Code 10069,2018,5085.0
2616,Zip Code 10075,2018,21556.0
2617,Zip Code 10128,2018,59256.0
2618,Zip Code 10280,2018,9384.0
2619,Zip Code 10282,2018,5593.0
2620,Zip Code 10301,2018,38733.0
2621,Zip Code 10302,2018,18204.0
2622,Zip Code 10303,2018,25947.0
2623,Zip Code 10304,2018,41064.0
2624,Zip Code 10305,2018,42298.0
2625,Zip Code 10306,2018,53142.0
2626,Zip Code 10307,2018,15232.0
2627,Zip Code 10308,2018,30186.0
2628,Zip Code 10309,2018,33531.0
2629,Zip Code 10310,2018,23262.0
2630,Zip Code 10312,2018,61741.0
2631,Zip Code 10314,2018,90761.0
2632,Zip Code 10451,2018,47798.0
2633,Zip Code 10452,2018,76078.0
2634,Zip Code 10453,2018,79606.0
2635,Zip Code 10454,2018,38203.0
2636,Zip Code 10455,2018,42283.0
2637,Zip Code 10456,2018,94218.0
2638,Zip Code 10457,2018,74554.0
2639,Zip Code 10458,2018,83960.0
2640,Zip Code 10459,2018,48351.0
2641,Zip Code 10460,2018,59505.0
2642,Zip Code 10461,2018,50348.0
2643,Zip Code 10462,2018,76756.0
2644,Zip Code 10463,2018,71360.0
2645,Zip Code 10464,2018,4434.0
2646,Zip Code 10465,2018,44205.0
2647,Zip Code 10466,2018,72479.0
2648,Zip Code 10467,2018,103732.0
2649,Zip Code 10468,2018,78647.0
2650,Zip Code 10469,2018,73870.0
2651,Zip Code 10470,2018,15432.0
2652,Zip Code 10471,2018,21896.0
2653,Zip Code 10472,2018,68796.0
2654,Zip Code 10473,2018,59609.0
2655,Zip Code 10474,2018,12127.0
2656,Zip Code 10475,2018,43208.0
2657,Zip Code 11001,2018,27867.0
2658,Zip Code 11004,2018,15234.0
2659,Zip Code 11005,2018,1749.0
2660,Zip Code 11040,2018,41877.0
2661,Zip Code 11096,2018,8311.0
2662,Zip Code 11101,2018,30043.0
2663,Zip Code 11102,2018,30800.0
2664,Zip Code 11103,2018,36140.0
2665,Zip Code 11104,2018,26119.0
2666,Zip Code 11105,2018,37382.0
2667,Zip Code 11106,2018,38363.0
2668,Zip Code 11109,2018,5981.0
2669,Zip Code 11201,2018,62823.0
2670,Zip Code 11203,2018,75451.0
2671,Zip Code 11204,2018,76978.0
2672,Zip Code 11205,2018,46064.0
2673,Zip Code 11206,2018,88349.0
2674,Zip Code 11207,2018,91972.0
2675,Zip Code 11208,2018,98660.0
2676,Zip Code 11209,2018,67809.0
2677,Zip Code 11210,2018,67040.0
2678,Zip Code 11211,2018,102624.0
2679,Zip Code 11212,2018,76527.0
2680,Zip Code 11213,2018,66295.0
2681,Zip Code 11214,2018,92946.0
2682,Zip Code 11215,2018,70156.0
2683,Zip Code 11216,2018,56308.0
2684,Zip Code 11217,2018,41407.0
2685,Zip Code 11218,2018,74508.0
2686,Zip Code 11219,2018,90036.0
2687,Zip Code 11220,2018,95643.0
2688,Zip Code 11221,2018,83835.0
2689,Zip Code 11222,2018,36492.0
2690,Zip Code 11223,2018,81789.0
2691,Zip Code 11224,2018,46707.0
2692,Zip Code 11225,2018,58882.0
2693,Zip Code 11226,2018,100277.0
2694,Zip Code 11228,2018,44994.0
2695,Zip Code 11229,2018,83615.0
2696,Zip Code 11230,2018,89075.0
2697,Zip Code 11231,2018,37845.0
2698,Zip Code 11232,2018,27602.0
2699,Zip Code 11233,2018,76819.0
2700,Zip Code 11234,2018,95666.0
2701,Zip Code 11235,2018,78128.0
2702,Zip Code 11236,2018,100331.0
2703,Zip Code 11237,2018,49310.0
2704,Zip Code 11238,2018,54540.0
2705,Zip Code 11239,2018,13244.0
2706,Zip Code 11354,2018,55200.0
2707,Zip Code 11355,2018,80853.0
2708,Zip Code 11356,2018,23362.0
2709,Zip Code 11357,2018,39902.0
2710,Zip Code 11358,2018,37190.0
2711,Zip Code 11359,2018,0.0
2712,Zip Code 11360,2018,19621.0
2713,Zip Code 11361,2018,27246.0
2714,Zip Code 11362,2018,18721.0
2715,Zip Code 11363,2018,6952.0
2716,Zip Code 11364,2018,36806.0
2717,Zip Code 11365,2018,44983.0
2718,Zip Code 11366,2018,14650.0
2719,Zip Code 11367,2018,41824.0
2720,Zip Code 11368,2018,112425.0
2721,Zip Code 11369,2018,34118.0
2722,Zip Code 11370,2018,32514.0
2723,Zip Code 11371,2018,0.0
2724,Zip Code 11372,2018,61844.0
2725,Zip Code 11373,2018,93967.0
2726,Zip Code 11374,2018,42653.0
2727,Zip Code 11375,2018,73488.0
2728,Zip Code 11377,2018,86421.0
2729,Zip Code 11378,2018,37279.0
2730,Zip Code 11379,2018,37851.0
2731,Zip Code 11385,2018,106717.0
2732,Zip Code 11411,2018,20759.0
2733,Zip Code 11412,2018,37458.0
2734,Zip Code 11413,2018,42443.0
2735,Zip Code 11414,2018,29219.0
2736,Zip Code 11415,2018,19372.0
2737,Zip Code 11416,2018,27125.0
2738,Zip Code 11417,2018,31927.0
2739,Zip Code 11418,2018,38517.0
2740,Zip Code 11419,2018,49618.0
2741,Zip Code 11420,2018,48489.0
2742,Zip Code 11421,2018,41002.0
2743,Zip Code 11422,2018,32082.0
2744,Zip Code 11423,2018,31400.0
2745,Zip Code 11426,2018,20801.0
2746,Zip Code 11427,2018,24037.0
2747,Zip Code 11428,2018,18929.0
2748,Zip Code 11429,2018,27403.0
2749,Zip Code 11430,2018,198.0
2750,Zip Code 11432,2018,62053.0
2751,Zip Code 11433,2018,36489.0
2752,Zip Code 11434,2018,65791.0
2753,Zip Code 11435,2018,59296.0
2754,Zip Code 11436,2018,20077.0
2755,Zip Code 11691,2018,67094.0
2756,Zip Code 11692,2018,20991.0
2757,Zip Code 11693,2018,12919.0
2758,Zip Code 11694,2018,21354.0
2759,Zip Code 11697,2018,3540.0
2760,Battery Park/Tribeca,2019,66437.96901
2761,Greenwich Village,2019,98076.03099
2762,Lower East Side,2019,167128.0
2763,Chelsea/Clinton,2019,111490.3113
2764,Midtown Business District,2019,55799.68867
2765,Murray Hill/Stuyvesant,2019,148482.0
2766,Upper West Side,2019,179682.0
2767,Upper East Side,2019,216874.0
2768,Manhattanville,2019,132837.0
2769,Central Harlem,2019,136351.0
2770,East Harlem,2019,111452.0
2771,Washington Heights,2019,204096.0
2772,Mott Haven,2019,93458.15468
2773,Hunts Point,2019,53365.84532
2774,Morrisania,2019,84605.54904
2775,Concourse/Highbridge,2019,140906.0
2776,University Heights,2019,138209.0
2777,East Tremont,2019,88324.45096
2778,Bedford Park,2019,151684.0
2779,Riverdale,2019,104149.0
2780,Unionport/Soundview,2019,178339.0
2781,Throgs Neck,2019,110883.0
2782,Pelham Parkway,2019,125155.0
2783,Williamsbridge,2019,149128.0
2784,Williamsburg/Greenpoint,2019,151308.0
2785,Fort Greene/Brooklyn Hts,2019,133346.0
2786,Bedford Stuyvesant,2019,144306.0
2787,Bushwick,2019,127550.0
2788,East New York,2019,180811.0
2789,Park Slope,2019,114043.0
2790,Sunset Park,2019,130783.0
2791,Crown Heights North,2019,128327.0
2792,Crown Heights South,2019,106258.0
2793,Bay Ridge,2019,121925.0
2794,Bensonhurst,2019,186959.0
2795,Borough Park,2019,153470.0
2796,Coney Island,2019,115277.0
2797,Flatbush/Midwood,2019,156866.0
2798,Sheepshead Bay,2019,147401.0
2799,Brownsville,2019,128369.0
2800,East Flatbush,2019,136009.0
2801,Canarsie,2019,196895.0
2802,Astoria,2019,166069.0
2803,Sunnyside/Woodside,2019,136058.0
2804,Jackson Heights,2019,175275.0
2805,Elmhurst/Corona,2019,156074.0
2806,Ridgewood/Glendale,2019,165895.0
2807,Rego Park/Forest Hills,2019,105586.0
2808,Flushing,2019,239869.0
2809,Fresh Meadows/Briarwood,2019,168471.0
2810,Woodhaven,2019,143756.0
2811,Howard Beach,2019,118568.0
2812,Bayside,2019,114562.0
2813,Jamaica/St. Albans,2019,241275.0
2814,Queens Village,2019,200660.0
2815,The Rockaways,2019,121740.0
2816,St. George,2019,176195.0
2817,South Beach,2019,138590.0
2818,Tottenville,2019,161358.0
2819,Bronx,2019,1418207.0
2820,Brooklyn,2019,2559903.0
2821,Manhattan,2019,1628706.0
2822,Queens,2019,2253858.0
2823,Staten Island,2019,476143.0
2824,New York City,2019,8336817.0
2825,Riverdale,2021,109361.0
2826,Williamsbridge,2021,134899.0
2827,Throgs Neck,2021,124141.0
2828,Pelham Parkway,2021,137755.0
2829,Morrisania,2021,85878.57072
2830,East Tremont,2021,89653.42928
2831,Bedford Park,2021,130407.0
2832,University Heights,2021,130157.0
2833,Concourse/Highbridge,2021,145325.0
2834,Unionport/Soundview,2021,177815.0
2835,Mott Haven,2021,101562.4784
2836,Hunts Point,2021,57993.5216
2837,Washington Heights,2021,216768.0
2838,Manhattanville,2021,118426.0
2839,Central Harlem,2021,128792.0
2840,East Harlem,2021,123582.0
2841,Upper East Side,2021,207429.0
2842,Upper West Side,2021,197826.0
2843,Chelsea/Clinton,2021,101249.6507
2844,Midtown Business District,2021,50674.34935
2845,Murray Hill/Stuyvesant,2021,144396.0
2846,Lower East Side,2021,141066.0
2847,Battery Park/Tribeca,2021,59230.56761
2848,Greenwich Village,2021,87436.43239
2849,Tottenville,2021,169906.0
2850,South Beach,2021,138438.0
2851,St. George,2021,185150.0
2852,Williamsburg/Greenpoint,2021,159580.0
2853,Bushwick,2021,114694.0
2854,Bedford Stuyvesant,2021,137061.0
2855,Fort Greene/Brooklyn Hts,2021,147130.0
2856,Park Slope,2021,117511.0
2857,Crown Heights North,2021,138614.0
2858,Brownsville,2021,123956.0
2859,East New York,2021,178925.0
2860,Canarsie,2021,196219.0
2861,East Flatbush,2021,139133.0
2862,Crown Heights South,2021,109967.0
2863,Sunset Park,2021,134945.0
2864,Bay Ridge,2021,111952.0
2865,Borough Park,2021,172253.0
2866,Flatbush/Midwood,2021,173007.0
2867,Sheepshead Bay,2021,159185.0
2868,Bensonhurst,2021,206519.0
2869,Coney Island,2021,120401.0
2870,Astoria,2021,156981.0
2871,Jackson Heights,2021,153743.0
2872,Flushing,2021,242765.0
2873,Bayside,2021,121130.0
2874,Queens Village,2021,206394.0
2875,Fresh Meadows/Briarwood,2021,163732.0
2876,Elmhurst/Corona,2021,137364.0
2877,Rego Park/Forest Hills,2021,126028.0
2878,Sunnyside/Woodside,2021,149487.0
2879,Ridgewood/Glendale,2021,168184.0
2880,Woodhaven,2021,143841.0
2881,Jamaica/St. Albans,2021,270688.0
2882,Howard Beach,2021,156106.0
2883,The Rockaways,2021,134700.0
2884,Bronx,2021,1424948.0
2885,Brooklyn,2021,2641052.0
2886,Manhattan,2021,1576876.0
2887,Queens,2021,2331143.0
2888,Staten Island,2021,493494.0
