Neighborhood,Year,Median Rent,Median Income,RTI (%),Poverty Rate,Unemployment Rate,RTI_x_Unemployment,Population_x,Population_Growth_Rate,Evictions,Eviction Rate,Eviction Rate by Population
Astoria,2018,1736.89132,72043.60287,28.930668386490705,13.941,4.3999999999999995,127.29494090055908,160871.0,-0.020995490533772365,280.0,0.0032022690363457,0.1740525016939038
Battery Park/Tribeca,2018,2743.13463,158255.79521,20.800259173017615,6.625,3.7,76.96095894016518,61375.7862,0.020116524103420463,49.0,0.0011163765606488,0.0798360445279314
Bay Ridge,2018,1457.02322,77339.73274,22.607110240189847,15.868,3.5999999999999996,81.38559686468344,125200.0,0.013863695257838815,258.0,0.0049548684463222,0.2060702875399361
Bayside,2018,1889.64376,92226.15183,24.58708801143308,6.093,3.5000000000000004,86.0548080400158,115744.0,-0.024656610769360432,55.0,0.0012177571128085,0.0475186618744816
Bedford Park,2018,1219.88308,36691.56211,39.89635795857916,27.808,9.8,390.9843079940758,133784.0,-0.06796711717988013,1585.0,0.0304913239198184,1.1847455600071757
Bedford Stuyvesant,2018,1381.18111,58746.66365,28.212961026596105,27.036,5.800000000000001,163.63517395425743,155117.0,0.09216557415139381,1266.0,0.0179584657285519,0.8161581258018141
Borough Park,2018,1525.38795,53998.51979,33.898439200160894,27.846,4.2,142.37344464067576,138570.0,-0.5909868391114719,335.0,0.0055479191163075,0.2417550696398932
Borough Park,2018,1525.38795,53998.51979,33.898439200160894,27.846,4.2,142.37344464067576,138570.0,-0.5909868391114719,335.0,0.0055479191163075,0.0993614875686278
Borough Park,2018,1525.38795,53998.51979,33.898439200160894,27.846,4.2,142.37344464067576,337152.7623,1.4330862546005627,335.0,0.0055479191163075,0.2417550696398932
Borough Park,2018,1525.38795,53998.51979,33.898439200160894,27.846,4.2,142.37344464067576,337152.7623,1.4330862546005627,335.0,0.0055479191163075,0.0993614875686278
Brownsville,2018,968.85635,34660.91611,33.54289933682887,27.839,6.4,214.67455575570477,122128.0,0.09521033799356116,60.0,0.0016469038208168,0.0491287829162845
Canarsie,2018,1443.13664,77979.58385,22.20791497594021,9.614,4.8,106.59799188451301,195026.0,-0.0955819270347853,470.0,0.0072045005135122,0.2409935085578333
Central Harlem,2018,1135.49537,50961.63047,26.737654023886257,25.119000000000003,5.3,141.70956632659716,146309.0,-0.00768437758576257,570.0,0.0095732352496598,0.389586423254892
Chelsea/Clinton,2018,2178.05744,107973.5392,24.20656901093782,11.104,5.3,128.29481575797044,110265.3774,0.08525138494861006,271.0,0.0031821330859645,0.2457707091655046
Coney Island,2018,1156.85935,42481.19985,32.678719643084655,28.894,5.5,179.7329580369656,113339.0,-0.0710603316148809,470.0,0.0101247280325714,0.4146851480955364
East Flatbush,2018,1313.88458,62047.39808,25.410598103842357,10.211,4.8,121.97087089844331,135931.0,-0.029667278191409574,1127.0,0.0193909153475567,0.8290971154482789
East Harlem,2018,1039.35748,34775.21338,35.86545860613782,31.111,6.5,233.12548093989585,110800.0,-0.024847911104135756,307.0,0.0053869099842077,0.2770758122743682
East Harlem,2018,1039.35748,34775.21338,35.86545860613782,31.111,6.5,233.12548093989585,110800.0,-0.024847911104135756,307.0,0.0053869099842077,0.2710381847511569
East Harlem,2018,1039.35748,34775.21338,35.86545860613782,31.111,6.5,233.12548093989585,113268.173,0.022275929602888045,307.0,0.0053869099842077,0.2770758122743682
East Harlem,2018,1039.35748,34775.21338,35.86545860613782,31.111,6.5,233.12548093989585,113268.173,0.022275929602888045,307.0,0.0053869099842077,0.2710381847511569
