Neighborhood,Year,Poverty Rate
Jamaica/St. Albans,2007,15.828999999999999
Bayside,2007,5.3580000000000005
Howard Beach,2007,10.391
Crown Heights South,2007,20.916999999999998
Woodhaven,2007,11.88
Flushing,2007,11.37
Battery Park/Tribeca,2007,8.612
Ridgewood/Glendale,2007,11.638
Elmhurst/Corona,2007,14.334
Jackson Heights,2007,15.462000000000002
Sunnyside/Woodside,2007,13.23
Astoria,2007,16.717000000000002
Canarsie,2007,9.11
East Flatbush,2007,13.369
Brownsville,2007,35.507
Flatbush/Midwood,2007,21.009
Coney Island,2007,23.809
Borough Park,2007,27.157999999999998
Bensonhurst,2007,14.460999999999999
Fresh Meadows/Briarwood,2007,12.434000000000001
Rego Park/Forest Hills,2007,6.069999999999999
Concourse/Highbridge,2007,36.458
Battery Park/Tribeca,2008,8.818
Borough Park,2008,28.179
Coney Island,2008,19.025
Flatbush/Midwood,2008,21.552
Sheepshead Bay,2008,12.333
Brownsville,2008,32.567
East Flatbush,2008,13.934
Canarsie,2008,12.751000000000001
Astoria,2008,16.424
Sunnyside/Woodside,2008,11.446000000000002
Jackson Heights,2008,18.02
Elmhurst/Corona,2008,17.874000000000002
Ridgewood/Glendale,2008,11.411999999999999
Flushing,2008,12.606
Fresh Meadows/Briarwood,2008,8.04
Woodhaven,2008,11.902
Howard Beach,2008,11.84
Bayside,2008,6.537
Jamaica/St. Albans,2008,12.525
Queens Village,2008,7.011000000000001
The Rockaways,2008,15.223
St. George,2008,18.787000000000003
South Beach,2008,7.968999999999999
Tottenville,2008,2.235
Bronx,2008,27.565
Brooklyn,2008,21.132
Manhattan,2008,16.865
Queens,2008,12.145999999999999
Staten Island,2008,9.972
New York City,2008,18.233
Bensonhurst,2008,16.935
Bay Ridge,2008,12.148
Rego Park/Forest Hills,2008,6.746
Crown Heights North,2008,26.151999999999997
Crown Heights South,2008,18.78
Lower East Side,2008,27.694999999999997
Chelsea/Clinton,2008,14.249999999999998
Midtown Business District,2008,14.249999999999998
Murray Hill/Stuyvesant,2008,6.263000000000001
Upper West Side,2008,9.902
Upper East Side,2008,5.4190000000000005
Manhattanville,2008,27.435
Central Harlem,2008,27.85
East Harlem,2008,27.149
Washington Heights,2008,24.169
Mott Haven,2008,44.243
Hunts Point,2008,44.243
Morrisania,2008,43.046
Concourse/Highbridge,2008,37.509
Greenwich Village,2008,8.818
East Tremont,2008,43.046
University Heights,2008,34.429
Park Slope,2008,10.925
East New York,2008,27.848
Bushwick,2008,26.924999999999997
Bedford Stuyvesant,2008,28.204
Fort Greene/Brooklyn Hts,2008,20.598
Williamsburg/Greenpoint,2008,30.755
Sunset Park,2008,22.816
Pelham Parkway,2008,19.987
Throgs Neck,2008,9.074
Unionport/Soundview,2008,21.418
Riverdale,2008,15.048
Bedford Park,2008,30.572
Williamsbridge,2008,16.756999999999998
East Tremont,2009,38.878
Bedford Park,2009,35.022999999999996
Riverdale,2009,13.374
Unionport/Soundview,2009,27.925
East New York,2009,29.183999999999997
Throgs Neck,2009,13.645
Williamsburg/Greenpoint,2009,31.735000000000003
Williamsbridge,2009,16.654
Fort Greene/Brooklyn Hts,2009,17.363999999999997
Bedford Stuyvesant,2009,34.202
Bushwick,2009,33.53
University Heights,2009,40.861
Pelham Parkway,2009,17.434
Concourse/Highbridge,2009,31.397000000000002
Upper East Side,2009,5.886
Hunts Point,2009,41.618
Mott Haven,2009,41.618
Washington Heights,2009,25.862000000000002
East Harlem,2009,29.988999999999997
Central Harlem,2009,27.142
Manhattanville,2009,25.273
Upper West Side,2009,8.798
Murray Hill/Stuyvesant,2009,6.859
Midtown Business District,2009,12.706000000000001
Chelsea/Clinton,2009,12.706000000000001
Lower East Side,2009,25.924999999999997
Greenwich Village,2009,7.89
Battery Park/Tribeca,2009,7.89
Park Slope,2009,8.424
Morrisania,2009,38.878
Staten Island,2009,11.202
Sunset Park,2009,27.567000000000004
Crown Heights South,2009,19.654
Crown Heights North,2009,24.773
