Neighborhood,Year,Unemployment Rate
St. George,2018,5.5
Williamsburg/Greenpoint,2018,2.4
Bushwick,2018,3.8
Bedford Stuyvesant,2018,5.800000000000001
Fort Greene/Brooklyn Hts,2018,5.1
Park Slope,2018,5.5
Crown Heights North,2018,5.5
Brownsville,2018,6.4
East New York,2018,5.6000000000000005
Canarsie,2018,4.8
East Flatbush,2018,4.8
Crown Heights South,2018,4.7
Sunset Park,2018,5.3
Bay Ridge,2018,3.5999999999999996
Borough Park,2018,4.2
Flatbush/Midwood,2018,4.8
Sheepshead Bay,2018,4.5
Bensonhurst,2018,5.800000000000001
Coney Island,2018,5.5
Astoria,2018,4.3999999999999995
Jackson Heights,2018,5.0
Flushing,2018,4.5
Bayside,2018,3.5000000000000004
Queens Village,2018,6.0
Fresh Meadows/Briarwood,2018,7.1
Elmhurst/Corona,2018,4.0
Rego Park/Forest Hills,2018,3.6999999999999997
Sunnyside/Woodside,2018,4.3
Ridgewood/Glendale,2018,4.1000000000000005
Woodhaven,2018,5.3
Jamaica/St. Albans,2018,7.1
Howard Beach,2018,5.6000000000000005
The Rockaways,2018,7.5
Bronx,2018,10.100000000000001
Brooklyn,2018,4.9
Manhattan,2018,4.9
Queens,2018,5.2
Staten Island,2018,4.1000000000000005
New York City,2018,5.7
Battery Park/Tribeca,2019,4.3
Greenwich Village,2019,4.3
Lower East Side,2019,5.2
Chelsea/Clinton,2019,2.6
Midtown Business District,2019,2.6
Murray Hill/Stuyvesant,2019,1.3
Upper West Side,2019,2.3
Upper East Side,2019,2.0
Manhattanville,2019,6.800000000000001
Central Harlem,2019,8.7
East Harlem,2019,6.1
Washington Heights,2019,6.2
Mott Haven,2019,11.3
Hunts Point,2019,11.3
Morrisania,2019,11.5
Concourse/Highbridge,2019,9.6
University Heights,2019,11.600000000000001
East Tremont,2019,11.5
Bedford Park,2019,11.700000000000001
Riverdale,2019,5.6000000000000005
Unionport/Soundview,2019,6.9
Throgs Neck,2019,4.5
Pelham Parkway,2019,8.1
Williamsbridge,2019,8.3
Williamsburg/Greenpoint,2019,4.0
Fort Greene/Brooklyn Hts,2019,6.3
Bedford Stuyvesant,2019,6.6000000000000005
Bushwick,2019,6.3
East New York,2019,3.9
Park Slope,2019,3.4000000000000004
Sunset Park,2019,3.3000000000000003
Crown Heights North,2019,4.1000000000000005
Crown Heights South,2019,4.5
Bay Ridge,2019,3.5999999999999996
Bensonhurst,2019,4.5
Borough Park,2019,4.0
Coney Island,2019,4.3999999999999995
Flatbush/Midwood,2019,3.5999999999999996
Sheepshead Bay,2019,3.8
Brownsville,2019,7.6
East Flatbush,2019,5.0
Canarsie,2019,3.2
Astoria,2019,3.4000000000000004
Sunnyside/Woodside,2019,3.9
Jackson Heights,2019,4.3999999999999995
Elmhurst/Corona,2019,3.5999999999999996
Ridgewood/Glendale,2019,3.1
Rego Park/Forest Hills,2019,3.8
Flushing,2019,4.5
Fresh Meadows/Briarwood,2019,5.5
Woodhaven,2019,5.2
Howard Beach,2019,4.5
Bayside,2019,3.9
Jamaica/St. Albans,2019,6.6000000000000005
Queens Village,2019,5.4
The Rockaways,2019,6.3
St. George,2019,5.1
South Beach,2019,3.5999999999999996
Tottenville,2019,3.1
Bronx,2019,9.1
Brooklyn,2019,4.5
Manhattan,2019,4.2
Queens,2019,4.6
Staten Island,2019,4.0
New York City,2019,5.2
Riverdale,2021,12.8
Williamsbridge,2021,16.2
Throgs Neck,2021,9.5
Pelham Parkway,2021,14.499999999999998
Morrisania,2021,9.54
East Tremont,2021,9.959999999999999
Bedford Park,2021,17.0
University Heights,2021,18.9
Concourse/Highbridge,2021,16.5
Unionport/Soundview,2021,15.4
Mott Haven,2021,12.030000000000001
Hunts Point,2021,6.87
Washington Heights,2021,18.6
Manhattanville,2021,14.799999999999999
Central Harlem,2021,15.9
East Harlem,2021,12.2
Upper East Side,2021,6.2
Upper West Side,2021,11.5
Chelsea/Clinton,2021,6.331
Midtown Business District,2021,3.1690000000000005
Murray Hill/Stuyvesant,2021,5.0
Lower East Side,2021,10.100000000000001
Battery Park/Tribeca,2021,2.181
Greenwich Village,2021,3.2190000000000003
Tottenville,2021,6.800000000000001
South Beach,2021,8.0
St. George,2021,7.9
Williamsburg/Greenpoint,2021,11.0
Bushwick,2021,10.0
Bedford Stuyvesant,2021,10.7
Fort Greene/Brooklyn Hts,2021,8.6
Park Slope,2021,8.799999999999999
Crown Heights North,2021,10.5
Brownsville,2021,18.0
East New York,2021,12.8
Canarsie,2021,10.2
East Flatbush,2021,12.8
Crown Heights South,2021,13.200000000000001
Sunset Park,2021,12.1
Bay Ridge,2021,11.5
Borough Park,2021,13.200000000000001
Flatbush/Midwood,2021,8.4
Sheepshead Bay,2021,10.5
Bensonhurst,2021,11.700000000000001
Coney Island,2021,10.6
Astoria,2021,13.100000000000001
Jackson Heights,2021,11.600000000000001
Flushing,2021,12.8
Bayside,2021,8.6
Queens Village,2021,10.2
Fresh Meadows/Briarwood,2021,12.4
Elmhurst/Corona,2021,9.9
Rego Park/Forest Hills,2021,8.9
Sunnyside/Woodside,2021,8.3
Ridgewood/Glendale,2021,11.4
Woodhaven,2021,11.1
Jamaica/St. Albans,2021,14.799999999999999
Howard Beach,2021,15.299999999999999
The Rockaways,2021,14.2
Bronx,2021,16.1
Brooklyn,2021,11.200000000000001
Manhattan,2021,10.6
Queens,2021,11.799999999999999
Staten Island,2021,7.5
New York City,2021,11.799999999999999
Battery Park/Tribeca,2022,3.3000000000000003
Greenwich Village,2022,3.3000000000000003
Lower East Side,2022,7.1
Murray Hill/Stuyvesant,2022,4.3
Upper West Side,2022,4.1000000000000005
Upper East Side,2022,4.2
Manhattanville,2022,9.6
Central Harlem,2022,10.5
East Harlem,2022,9.1
Washington Heights,2022,6.0
Mott Haven,2022,15.1
Hunts Point,2022,15.1
Morrisania,2022,9.5
Concourse/Highbridge,2022,9.5
University Heights,2022,13.700000000000001
East Tremont,2022,12.9
Bedford Park,2022,10.7
Riverdale,2022,4.8
Unionport/Soundview,2022,7.9
Throgs Neck,2022,7.1
Pelham Parkway,2022,5.3
Williamsbridge,2022,7.9
Williamsburg/Greenpoint,2022,5.7
Fort Greene/Brooklyn Hts,2022,2.8000000000000003
Bedford Stuyvesant,2022,8.5
Bushwick,2022,7.3
East New York,2022,6.7
Park Slope,2022,4.8
Sunset Park,2022,6.5
Crown Heights North,2022,7.6
Crown Heights South,2022,7.9
Bay Ridge,2022,3.8
Bensonhurst,2022,8.0
Borough Park,2022,3.4000000000000004
Coney Island,2022,9.6
Flatbush/Midwood,2022,7.000000000000001
Sheepshead Bay,2022,4.2
Brownsville,2022,12.7
East Flatbush,2022,11.0
Canarsie,2022,7.7
Astoria,2022,6.7
Sunnyside/Woodside,2022,2.9000000000000004
Jackson Heights,2022,4.5
Elmhurst/Corona,2022,5.5
Ridgewood/Glendale,2022,3.6999999999999997
Rego Park/Forest Hills,2022,2.8000000000000003
Flushing,2022,4.2
Fresh Meadows/Briarwood,2022,5.6000000000000005
Woodhaven,2022,4.9
Howard Beach,2022,6.3
Bayside,2022,5.1
Jamaica/St. Albans,2022,7.8
Queens Village,2022,5.8999999999999995
The Rockaways,2022,7.7
St. George,2022,6.1
South Beach,2022,3.6999999999999997
Tottenville,2022,2.8000000000000003
Bronx,2022,9.6
Brooklyn,2022,6.800000000000001
Manhattan,2022,5.7
Queens,2022,5.3
Staten Island,2022,4.3
New York City,2022,6.4
