"Name","Residential Units by Building Type"
"Description","Building type refers to the land use categories based on the classification from New York City's Department of City Planning/Department of Finance; read more here:&nbsp;<a href=""https://www1.nyc.gov/assets/planning/download/pdf/data-maps/open-data/pluto_datadictionary.pdf?r=16v2"">https://www1.nyc.gov/assets/planning/download/pdf/data-maps/open-data/pluto_datadictionary.pdf?r=16v2</a>."
"Source Notes","CCC analysis of NYC Pluto Data Downloader, version 2018v2. Retrieved from&nbsp;<a href=""https://chriswhong.github.io/plutoplus/"">https://chriswhong.github.io/plutoplus/</a>."
"Notes",""

Location,Building Type,TimeFrame,DataFormat,Data,Fips
Hunts Point,Mixed Residential and Commercial,2018,Number,6224,202
Morrisania,Mixed Residential and Commercial,2018,Number,10868,203
Concourse/Highbridge,Mixed Residential and Commercial,2018,Number,14117,204
University Heights,Mixed Residential and Commercial,2018,Number,12504,205
East Tremont,Mixed Residential and Commercial,2018,Number,8788,206
Bedford Park,Mixed Residential and Commercial,2018,Number,11780,207
Riverdale,Mixed Residential and Commercial,2018,Number,4901,208
Unionport/Soundview,Mixed Residential and Commercial,2018,Number,10638,209
Throgs Neck,Mixed Residential and Commercial,2018,Number,2682,210
Pelham Parkway,Mixed Residential and Commercial,2018,Number,5086,211
Williamsbridge,Mixed Residential and Commercial,2018,Number,3713,212
Williamsburg/Greenpoint,Mixed Residential and Commercial,2018,Number,25350,301
Fort Greene/Brooklyn Hts,Mixed Residential and Commercial,2018,Number,28485,302
Bedford Stuyvesant,Mixed Residential and Commercial,2018,Number,9166,303
Bushwick,Mixed Residential and Commercial,2018,Number,6819,304
East New York,Mixed Residential and Commercial,2018,Number,8585,305
Park Slope,Mixed Residential and Commercial,2018,Number,9287,306
Sunset Park,Mixed Residential and Commercial,2018,Number,7051,307
Crown Heights North,Mixed Residential and Commercial,2018,Number,6064,308
Crown Heights South,Mixed Residential and Commercial,2018,Number,7755,309
Bay Ridge,Mixed Residential and Commercial,2018,Number,7652,310
Bensonhurst,Mixed Residential and Commercial,2018,Number,8754,311
Borough Park,Mixed Residential and Commercial,2018,Number,7723,312
Coney Island,Mixed Residential and Commercial,2018,Number,6669,313
Flatbush/Midwood,Mixed Residential and Commercial,2018,Number,5619,314
Sheepshead Bay,Mixed Residential and Commercial,2018,Number,4831,315
Brownsville,Mixed Residential and Commercial,2018,Number,4763,316
East Flatbush,Mixed Residential and Commercial,2018,Number,6946,317
Canarsie,Mixed Residential and Commercial,2018,Number,1954,318
Astoria,Mixed Residential and Commercial,2018,Number,15988,401
Sunnyside/Woodside,Mixed Residential and Commercial,2018,Number,24369,402
Jackson Heights,Mixed Residential and Commercial,2018,Number,4903,403
Elmhurst/Corona,Mixed Residential and Commercial,2018,Number,8316,404
Ridgewood/Glendale,Mixed Residential and Commercial,2018,Number,5535,405
Rego Park/Forest Hills,Mixed Residential and Commercial,2018,Number,8827,406
Flushing,Mixed Residential and Commercial,2018,Number,14592,407
Fresh Meadows/Briarwood,Mixed Residential and Commercial,2018,Number,5458,408
Woodhaven,Mixed Residential and Commercial,2018,Number,4184,409
Howard Beach,Mixed Residential and Commercial,2018,Number,1593,410
Bayside,Mixed Residential and Commercial,2018,Number,857,411
Jamaica/St. Albans,Mixed Residential and Commercial,2018,Number,5079,412
Queens Village,Mixed Residential and Commercial,2018,Number,1144,413
The Rockaways,Mixed Residential and Commercial,2018,Number,1851,414
St. George,Mixed Residential and Commercial,2018,Number,3200,501
South Beach,Mixed Residential and Commercial,2018,Number,800,502
Tottenville,Mixed Residential and Commercial,2018,Number,481,503
Bronx,Mixed Residential and Commercial,2018,Number,163473,36005
Brooklyn,Mixed Residential and Commercial,2018,Number,102416,36047
Manhattan,Mixed Residential and Commercial,2018,Number,404300,36061
Queens,Mixed Residential and Commercial,2018,Number,102696,36081
Staten Island,Mixed Residential and Commercial,2018,Number,4481,36085
New York City,Mixed Residential and Commercial,2018,Number,777366,3651000
Battery Park/Tribeca,Mixed Residential and Commercial,2018,Percent,0.65821,101
Greenwich Village,Mixed Residential and Commercial,2018,Percent,0.46959,102
Lower East Side,Mixed Residential and Commercial,2018,Percent,0.49351,103
Chelsea/Clinton,Mixed Residential and Commercial,2018,Percent,0.49982,104
Midtown Business District,Mixed Residential and Commercial,2018,Percent,0.6897,105
Murray Hill/Stuyvesant,Mixed Residential and Commercial,2018,Percent,0.53513,106
Upper West Side,Mixed Residential and Commercial,2018,Percent,0.38491,107
Upper East Side,Mixed Residential and Commercial,2018,Percent,0.39381,108
Manhattanville,Mixed Residential and Commercial,2018,Percent,0.21989,109
Central Harlem,Mixed Residential and Commercial,2018,Percent,0.33484,110
East Harlem,Mixed Residential and Commercial,2018,Percent,0.30502,111
Washington Heights,Mixed Residential and Commercial,2018,Percent,0.33695,112
Mott Haven,Mixed Residential and Commercial,2018,Percent,0.29117,201
Hunts Point,Mixed Residential and Commercial,2018,Percent,0.3093,202
Morrisania,Mixed Residential and Commercial,2018,Percent,0.31743,203
Concourse/Highbridge,Mixed Residential and Commercial,2018,Percent,0.27204,204
University Heights,Mixed Residential and Commercial,2018,Percent,0.24437,205
East Tremont,Mixed Residential and Commercial,2018,Percent,0.26626,206
Bedford Park,Mixed Residential and Commercial,2018,Percent,0.22662,207
Riverdale,Mixed Residential and Commercial,2018,Percent,0.11095,208
Unionport/Soundview,Mixed Residential and Commercial,2018,Percent,0.16399,209
Throgs Neck,Mixed Residential and Commercial,2018,Percent,0.05403,210
Pelham Parkway,Mixed Residential and Commercial,2018,Percent,0.09643,211
Williamsbridge,Mixed Residential and Commercial,2018,Percent,0.06758,212
Williamsburg/Greenpoint,Mixed Residential and Commercial,2018,Percent,0.2944,301
Fort Greene/Brooklyn Hts,Mixed Residential and Commercial,2018,Percent,0.41493,302
Bedford Stuyvesant,Mixed Residential and Commercial,2018,Percent,0.13002,303
Bushwick,Mixed Residential and Commercial,2018,Percent,0.15838,304
East New York,Mixed Residential and Commercial,2018,Percent,0.13046,305
Park Slope,Mixed Residential and Commercial,2018,Percent,0.17031,306
Sunset Park,Mixed Residential and Commercial,2018,Percent,0.17017,307
Crown Heights North,Mixed Residential and Commercial,2018,Percent,0.1283,308
Crown Heights South,Mixed Residential and Commercial,2018,Percent,0.19217,309
Bay Ridge,Mixed Residential and Commercial,2018,Percent,0.14696,310
Bensonhurst,Mixed Residential and Commercial,2018,Percent,0.12858,311
Borough Park,Mixed Residential and Commercial,2018,Percent,0.1279,312
Coney Island,Mixed Residential and Commercial,2018,Percent,0.14366,313
Flatbush/Midwood,Mixed Residential and Commercial,2018,Percent,0.09165,314
Sheepshead Bay,Mixed Residential and Commercial,2018,Percent,0.0746,315
Brownsville,Mixed Residential and Commercial,2018,Percent,0.13074,316
East Flatbush,Mixed Residential and Commercial,2018,Percent,0.11951,317
Canarsie,Mixed Residential and Commercial,2018,Percent,0.02995,318
Astoria,Mixed Residential and Commercial,2018,Percent,0.18285,401
Sunnyside/Woodside,Mixed Residential and Commercial,2018,Percent,0.3624,402
Jackson Heights,Mixed Residential and Commercial,2018,Percent,0.09272,403
Elmhurst/Corona,Mixed Residential and Commercial,2018,Percent,0.1551,404
Ridgewood/Glendale,Mixed Residential and Commercial,2018,Percent,0.08345,405
Rego Park/Forest Hills,Mixed Residential and Commercial,2018,Percent,0.15835,406
Flushing,Mixed Residential and Commercial,2018,Percent,0.15159,407
Fresh Meadows/Briarwood,Mixed Residential and Commercial,2018,Percent,0.09246,408
Woodhaven,Mixed Residential and Commercial,2018,Percent,0.09056,409
Howard Beach,Mixed Residential and Commercial,2018,Percent,0.04064,410
Bayside,Mixed Residential and Commercial,2018,Percent,0.01897,411
Jamaica/St. Albans,Mixed Residential and Commercial,2018,Percent,0.06603,412
Queens Village,Mixed Residential and Commercial,2018,Percent,0.01882,413
The Rockaways,Mixed Residential and Commercial,2018,Percent,0.04041,414
St. George,Mixed Residential and Commercial,2018,Percent,0.04922,501
South Beach,Mixed Residential and Commercial,2018,Percent,0.01642,502
Tottenville,Mixed Residential and Commercial,2018,Percent,0.00791,503
Bronx,Mixed Residential and Commercial,2018,Percent,0.15863,36005
Brooklyn,Mixed Residential and Commercial,2018,Percent,0.18801,36047
Manhattan,Mixed Residential and Commercial,2018,Percent,0.43514,36061
Queens,Mixed Residential and Commercial,2018,Percent,0.12045,36081
Staten Island,Mixed Residential and Commercial,2018,Percent,0.02567,36085
New York City,Mixed Residential and Commercial,2018,Percent,0.22012,3651000
