"Name","Residential Units by Building Type"
"Description","Building type refers to the land use categories based on the classification from New York City's Department of City Planning/Department of Finance; read more here:&nbsp;<a href=""https://www1.nyc.gov/assets/planning/download/pdf/data-maps/open-data/pluto_datadictionary.pdf?r=16v2"">https://www1.nyc.gov/assets/planning/download/pdf/data-maps/open-data/pluto_datadictionary.pdf?r=16v2</a>."
"Source Notes","CCC analysis of NYC Pluto Data Downloader, version 2018v2. Retrieved from&nbsp;<a href=""https://chriswhong.github.io/plutoplus/"">https://chriswhong.github.io/plutoplus/</a>."
"Notes",""

Location,Building Type,TimeFrame,DataFormat,Data,Fips
Canarsie,One and Two Family,2018,Percent,0.69645,318
Astoria,One and Two Family,2018,Percent,0.16241,401
Sunnyside/Woodside,One and Two Family,2018,Percent,0.11558,402
Jackson Heights,One and Two Family,2018,Percent,0.27851,403
Elmhurst/Corona,One and Two Family,2018,Percent,0.15073,404
Ridgewood/Glendale,One and Two Family,2018,Percent,0.50302,405
Rego Park/Forest Hills,One and Two Family,2018,Percent,0.1859,406
Flushing,One and Two Family,2018,Percent,0.38334,407
Fresh Meadows/Briarwood,One and Two Family,2018,Percent,0.34498,408
Woodhaven,One and Two Family,2018,Percent,0.51399,409
Howard Beach,One and Two Family,2018,Percent,0.76403,410
Bayside,One and Two Family,2018,Percent,0.61313,411
Jamaica/St. Albans,One and Two Family,2018,Percent,0.61554,412
Queens Village,One and Two Family,2018,Percent,0.8059,413
The Rockaways,One and Two Family,2018,Percent,0.4223,414
St. George,One and Two Family,2018,Percent,0.65239,501
South Beach,One and Two Family,2018,Percent,0.78571,502
Tottenville,One and Two Family,2018,Percent,0.9242,503
Bronx,One and Two Family,2018,Percent,0.24361,36005
Brooklyn,One and Two Family,2018,Percent,0.15101,36047
Manhattan,One and Two Family,2018,Percent,0.00634,36061
Queens,One and Two Family,2018,Percent,0.40211,36081
Staten Island,One and Two Family,2018,Percent,0.78433,36085
New York City,One and Two Family,2018,Percent,0.2319,3651000
Battery Park/Tribeca,Multi-Family Walk-Up,2018,Number,385,101
Greenwich Village,Multi-Family Walk-Up,2018,Number,10777,102
Lower East Side,Multi-Family Walk-Up,2018,Number,13333,103
Chelsea/Clinton,Multi-Family Walk-Up,2018,Number,13271,104
Midtown Business District,Multi-Family Walk-Up,2018,Number,719,105
Murray Hill/Stuyvesant,Multi-Family Walk-Up,2018,Number,5611,106
Upper West Side,Multi-Family Walk-Up,2018,Number,19173,107
Upper East Side,Multi-Family Walk-Up,2018,Number,20270,108
Manhattanville,Multi-Family Walk-Up,2018,Number,11704,109
Central Harlem,Multi-Family Walk-Up,2018,Number,18700,110
East Harlem,Multi-Family Walk-Up,2018,Number,9228,111
Washington Heights,Multi-Family Walk-Up,2018,Number,22777,112
Mott Haven,Multi-Family Walk-Up,2018,Number,7487,201
Hunts Point,Multi-Family Walk-Up,2018,Number,6602,202
Morrisania,Multi-Family Walk-Up,2018,Number,9305,203
Concourse/Highbridge,Multi-Family Walk-Up,2018,Number,14057,204
University Heights,Multi-Family Walk-Up,2018,Number,13310,205
East Tremont,Multi-Family Walk-Up,2018,Number,12168,206
Bedford Park,Multi-Family Walk-Up,2018,Number,17722,207
Riverdale,Multi-Family Walk-Up,2018,Number,6493,208
Unionport/Soundview,Multi-Family Walk-Up,2018,Number,17018,209
Throgs Neck,Multi-Family Walk-Up,2018,Number,8909,210
Pelham Parkway,Multi-Family Walk-Up,2018,Number,8357,211
Williamsbridge,Multi-Family Walk-Up,2018,Number,17144,212
Williamsburg/Greenpoint,Multi-Family Walk-Up,2018,Number,34766,301
Fort Greene/Brooklyn Hts,Multi-Family Walk-Up,2018,Number,16264,302
Bedford Stuyvesant,Multi-Family Walk-Up,2018,Number,31267,303
Bushwick,Multi-Family Walk-Up,2018,Number,24172,304
East New York,Multi-Family Walk-Up,2018,Number,18795,305
Park Slope,Multi-Family Walk-Up,2018,Number,27474,306
Sunset Park,Multi-Family Walk-Up,2018,Number,19047,307
Crown Heights North,Multi-Family Walk-Up,2018,Number,23161,308
Crown Heights South,Multi-Family Walk-Up,2018,Number,10923,309
Bay Ridge,Multi-Family Walk-Up,2018,Number,14083,310
Bensonhurst,Multi-Family Walk-Up,2018,Number,28173,311
Borough Park,Multi-Family Walk-Up,2018,Number,22800,312
Coney Island,Multi-Family Walk-Up,2018,Number,6437,313
Flatbush/Midwood,Multi-Family Walk-Up,2018,Number,12642,314
Sheepshead Bay,Multi-Family Walk-Up,2018,Number,9606,315
Brownsville,Multi-Family Walk-Up,2018,Number,13432,316
East Flatbush,Multi-Family Walk-Up,2018,Number,20556,317
Canarsie,Multi-Family Walk-Up,2018,Number,10113,318
Astoria,Multi-Family Walk-Up,2018,Number,38583,401
Sunnyside/Woodside,Multi-Family Walk-Up,2018,Number,16122,402
Jackson Heights,Multi-Family Walk-Up,2018,Number,15515,403
Elmhurst/Corona,Multi-Family Walk-Up,2018,Number,19064,404
Ridgewood/Glendale,Multi-Family Walk-Up,2018,Number,25610,405
Rego Park/Forest Hills,Multi-Family Walk-Up,2018,Number,2909,406
Flushing,Multi-Family Walk-Up,2018,Number,17371,407
Fresh Meadows/Briarwood,Multi-Family Walk-Up,2018,Number,15131,408
Woodhaven,Multi-Family Walk-Up,2018,Number,10046,409
Howard Beach,Multi-Family Walk-Up,2018,Number,5473,410
Bayside,Multi-Family Walk-Up,2018,Number,12948,411
Jamaica/St. Albans,Multi-Family Walk-Up,2018,Number,6875,412
Queens Village,Multi-Family Walk-Up,2018,Number,8026,413
The Rockaways,Multi-Family Walk-Up,2018,Number,5682,414
St. George,Multi-Family Walk-Up,2018,Number,9246,501
South Beach,Multi-Family Walk-Up,2018,Number,5893,502
Tottenville,Multi-Family Walk-Up,2018,Number,3045,503
Bronx,Multi-Family Walk-Up,2018,Number,343711,36005
Brooklyn,Multi-Family Walk-Up,2018,Number,137805,36047
Manhattan,Multi-Family Walk-Up,2018,Number,146715,36061
Queens,Multi-Family Walk-Up,2018,Number,199355,36081
Staten Island,Multi-Family Walk-Up,2018,Number,18184,36085
New York City,Multi-Family Walk-Up,2018,Number,845770,3651000
Battery Park/Tribeca,Multi-Family Walk-Up,2018,Percent,0.00877,101
Greenwich Village,Multi-Family Walk-Up,2018,Percent,0.18859,102
Lower East Side,Multi-Family Walk-Up,2018,Percent,0.16379,103
Chelsea/Clinton,Multi-Family Walk-Up,2018,Percent,0.15583,104
Midtown Business District,Multi-Family Walk-Up,2018,Percent,0.01518,105
Murray Hill/Stuyvesant,Multi-Family Walk-Up,2018,Percent,0.05647,106
Upper West Side,Multi-Family Walk-Up,2018,Percent,0.15036,107
Upper East Side,Multi-Family Walk-Up,2018,Percent,0.13584,108
Manhattanville,Multi-Family Walk-Up,2018,Percent,0.25726,109
Central Harlem,Multi-Family Walk-Up,2018,Percent,0.31407,110
East Harlem,Multi-Family Walk-Up,2018,Percent,0.16192,111
Washington Heights,Multi-Family Walk-Up,2018,Percent,0.31246,112
Mott Haven,Multi-Family Walk-Up,2018,Percent,0.19166,201
Hunts Point,Multi-Family Walk-Up,2018,Percent,0.32808,202
Morrisania,Multi-Family Walk-Up,2018,Percent,0.27177,203
